time,in or out
8:43:47,In
8:43:47,In
8:43:49,In
8:43:49,Out
8:43:49,Out
8:43:49,In
8:43:49,In
8:43:50,Out
8:43:50,In
8:43:50,In
8:43:51,In
8:43:51,In
8:43:51,In
8:43:52,Out
8:43:52,Out
8:43:52,Out
8:43:52,Out
8:43:53,In
8:43:53,Out
8:43:53,Out
8:43:54,In
8:43:56,Out
8:43:57,In
8:43:57,In
8:43:58,In
8:43:58,In
8:43:58,In
8:43:58,Out
8:43:58,Out
8:43:59,Out
8:43:59,In
8:43:59,Out
8:44:00,Out
8:44:00,Out
8:44:00,Out
8:44:00,Out
8:44:00,In
8:44:01,Out
8:44:02,Out
8:44:02,In
8:44:02,Out
8:44:03,Out
8:44:03,Out
8:44:04,In
8:44:04,In
8:44:05,Out
8:44:06,Out
8:44:07,Out
8:44:07,Out
8:44:08,Out
8:44:09,Out
8:44:10,In
8:44:10,In
8:44:10,Out
8:44:11,Out
8:44:11,In
8:44:11,In
8:44:11,Out
8:44:14,In
8:44:15,In
8:44:15,In
8:44:15,Out
8:44:16,Out
8:44:16,In
8:44:16,Out
8:44:16,Out
8:44:17,Out
8:44:18,In
8:44:19,In
8:44:19,In
8:44:19,In
8:44:19,In
8:44:19,In
8:44:20,In
8:44:21,In
8:44:21,Out
8:44:22,Out
8:44:22,Out
8:44:22,Out
8:44:22,In
8:44:23,Out
8:44:23,In
8:44:23,In
8:44:24,In
8:44:24,In
8:44:25,In
8:44:25,In
8:44:25,In
8:44:25,Out
8:44:25,Out
8:44:25,Out
8:44:25,Out
8:44:25,In
8:44:26,In
8:44:26,Out
8:44:26,In
8:44:27,Out
8:44:27,In
8:44:27,In
8:44:28,In
8:44:28,In
8:44:29,In
8:44:29,Out
8:44:29,In
8:44:29,Out
8:44:30,Out
8:44:30,Out
8:44:30,In
8:44:33,In
8:44:33,Out
8:44:33,Out
8:44:33,Out
8:44:33,Out
8:44:34,Out
8:44:34,Out
8:44:34,Out
8:44:34,Out
8:44:34,In
8:44:35,In
8:44:35,In
8:44:35,In
8:44:35,In
8:44:37,Out
8:44:38,In
8:44:38,Out
8:44:39,Out
8:44:39,Out
8:44:40,Out
8:44:43,In
8:44:44,Out
8:44:44,Out
8:44:44,Out
8:44:44,In
8:44:47,Out
8:44:48,Out
8:44:48,Out
8:44:49,Out
8:44:50,In
8:44:51,In
8:44:52,Out
8:44:52,Out
8:44:54,In
8:44:54,In
8:44:54,In
8:44:55,In
8:44:55,Out
8:44:56,Out
8:44:56,Out
8:44:57,Out
8:44:58,Out
8:45:00,Out
8:45:02,In
8:45:04,Out
8:45:04,Out
8:45:05,Out
8:45:05,Out
8:45:05,Out
8:45:05,In
8:45:06,Out
8:45:06,In
8:45:06,In
8:45:06,Out
8:45:06,Out
8:45:06,Out
8:45:06,Out
8:45:07,Out
8:45:07,Out
8:45:07,Out
8:45:08,In
8:45:08,In
8:45:08,Out
8:45:09,In
8:45:09,Out
8:45:09,Out
8:45:10,In
8:45:10,In
8:45:10,Out
8:45:10,In
8:45:11,In
8:45:12,In
8:45:12,In
8:45:12,Out
8:45:12,Out
8:45:13,In
8:45:13,Out
8:45:13,In
8:45:13,Out
8:45:14,Out
8:45:14,In
8:45:14,In
8:45:17,Out
8:45:19,Out
8:45:19,In
8:45:19,Out
8:45:20,In
8:45:22,Out
8:45:22,In
8:45:23,Out
8:45:23,In
8:45:23,Out
8:45:24,In
8:45:24,Out
8:45:25,Out
8:45:25,Out
8:45:26,Out
8:45:26,Out
8:45:26,In
8:45:26,Out
8:45:26,Out
8:45:26,In
8:45:27,Out
8:45:28,Out
8:45:28,In
8:45:28,In
8:45:28,Out
8:45:29,In
8:45:29,In
8:45:30,Out
8:45:30,In
8:45:30,Out
8:45:30,In
8:45:31,Out
8:45:31,Out
8:45:31,Out
8:45:31,In
8:45:32,In
8:45:32,In
8:45:32,Out
8:45:32,Out
8:45:33,In
8:45:34,Out
8:45:34,In
8:45:34,In
8:45:35,Out
8:45:37,In
8:45:37,In
8:45:37,In
8:45:38,In
8:45:39,Out
8:45:39,In
8:45:39,Out
8:45:40,In
8:45:40,In
8:45:40,In
8:45:41,Out
8:45:43,Out
8:45:43,Out
8:45:43,Out
8:45:44,Out
8:45:45,In
8:45:45,Out
8:45:45,In
8:45:45,In
8:45:45,In
8:45:46,Out
8:45:46,Out
8:45:46,Out
8:45:46,In
8:45:46,In
8:45:47,In
8:45:47,Out
8:45:48,In
8:45:49,In
8:45:49,Out
8:45:50,In
8:45:50,Out
8:45:50,In
8:45:50,In
8:45:50,In
8:45:50,Out
8:45:51,In
8:45:51,In
8:45:51,In
8:45:51,In
8:45:52,In
8:45:53,In
8:45:54,Out
